2022-09-23 12:00:38,798 - root - INFO - We are starting the data analysis in Jupyter Notebook
2022-09-23 12:13:39,286 - root - INFO - From here we will analyze the data
2022-09-23 12:18:27,788 - root - INFO - Using visualization for better undertanding
2022-09-23 12:20:01,292 - matplotlib.font_manager - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=11.0.
2022-09-23 12:20:01,293 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
2022-09-23 12:20:01,294 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
2022-09-23 12:20:01,294 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymReg.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-09-23 12:20:01,294 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-09-23 12:20:01,294 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-09-23 12:20:01,294 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-09-23 12:20:01,295 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBol.ttf', name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-09-23 12:20:01,295 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-09-23 12:20:01,295 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2022-09-23 12:20:01,295 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-09-23 12:20:01,295 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-09-23 12:20:01,295 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2022-09-23 12:20:01,296 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-09-23 12:20:01,296 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-09-23 12:20:01,296 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2022-09-23 12:20:01,296 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmex10.ttf', name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-09-23 12:20:01,296 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2022-09-23 12:20:01,296 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2022-09-23 12:20:01,296 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2022-09-23 12:20:01,297 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-09-23 12:20:01,297 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-09-23 12:20:01,297 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-09-23 12:20:01,297 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-09-23 12:20:01,297 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2022-09-23 12:20:01,297 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-09-23 12:20:01,297 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-09-23 12:20:01,298 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-09-23 12:20:01,298 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-09-23 12:20:01,298 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-09-23 12:20:01,298 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\User\\anaconda3\\envs\\Ml\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
